the_geom,OBJECTID,FIRESTATIONS_ID,ADDRESS,NAME,FACILITY,STATION_NUMBER,TYPE,STATUS,DEPARTMENT,SECONDARY_FACILITY,JURISDICTION,Y_COORDINATE,X_COORDINATE,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,RESOURCES
POINT (-97.836891015613 30.404439575934),124,58,"7701 River Pl Blvd, Austin, TX 78726",FS0039,FIRE STATION,39,10,AFD BUILT,AFD,EMS,AUSTIN,10119657,3083507,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.634954266037 30.469040702821),122,74,"911 W Pflugerville Pkwy, Pflugerville, TX 78660",FS0204,FIRE STATION,204,0,BUILT,ESD 2,EMS,PFLUGERVILLE,10144631,3146627,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,06/08/2017 09:55:05 AM +0000,ENG
POINT (-97.677388478859 30.622257609219),70,134,"301 Industrial Ave, Georgetown, TX 78626",GT001,FIRE STATION,GT 1,0,BUILT,GEORGETOWN,,GEORGETOWN,,,FD2910,02/26/2024 04:57:48 PM +0000,,,Unknown
POINT (-97.68158704992 30.453873348539),143,73,"15300 Bratton Ln, Austin, TX 78728",FS0202,FIRE STATION,202,0,BUILT,ESD 2,,PFLUGERVILLE,10138763,3132024,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.910569619372 30.665110252948),64,128,"301 Loop 332, Liberty Hill, TX 78642",LH001,FIRE STATION,LH 1,0,BUILT,LIBERTY HILL,,LIBERTY HILL,,,FD2910,02/26/2024 03:30:54 PM +0000,,,Unknown
POINT (-97.722729729705 30.530434879921),90,154,"2721 Sam Bass Rd, Round Rock, TX 78681",FSRR09,FIRE STATION,RR 9,0,BUILT,ROUND ROCK,,ROUND ROCK,,,FD2910,02/26/2024 05:01:19 PM +0000,,,Unknown
POINT (-97.909290256157 30.479405101715),101,24,"10100 Trails End Rd, Leander, TX 78641",FS0106,FIRE STATION,106,0,,ESD 1,,LEANDER,10146410,3060095,FD2396,06/06/2017 04:43:22 PM +0000,FD2396,06/06/2017 05:21:04 PM +0000,Not staffed
POINT (-97.978723349399 30.43370566239),102,6,"4712 Lohman Ford Rd, Lago Vista, TX 78645",FS0103,FIRE STATION,103,0,,ESD 1,EMS,LAGO VISTA,10128647,3031689,FD2396,06/06/2017 04:43:22 PM +0000,FD2396,05/01/2018 11:16:57 AM +0000,QNT
POINT (-97.894294506503 30.370189768605),142,22,"3048 Steiner Ranch Blvd, Austin, TX 78732",FS0605,FIRE STATION,605,0,BUILT,ESD 6,,AUSTIN,10106803,3065704,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/16/2015 09:48:13 AM +0000,QNT
POINT (-97.666680363124 30.277553395171),31,102,"4201 Ed Bluestein Blvd, Austin, TX 78721",FS00HQ,AFDHQ & ADMIN,HQ,13,BUILT,AFD,,AUSTIN,10074769,3138257,FD2396,06/14/2016 04:29:38 PM +0000,,,Not Applicable
POINT (-97.631573514068 30.29355031728),59,47,"6702 Wentworth Dr, Austin, TX 78724",FS0026,FIRE STATION,26,10,AFD BUILT,AFD,EMS,AUSTIN,10080852,3149141,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/09/2015 10:30:56 AM +0000,ENG
POINT (-97.527628073703 30.435032052597),52,118,"18412 Cameron Rd, Manor, TX 78653",FS0207,FIRE STATION,207,0,BUILT,ESD 2,,MANOR,,,FD2910,08/09/2022 11:42:17 AM +0000,,,Unknown
POINT (-97.645637395791 30.638912536099),76,140,"2711 E University Ave, Georgetown, TX 78626",GT007,FIRE STATION,GT 7,0,BUILT,GEORGETOWN,,GEORGETOWN,,,FD2910,02/26/2024 04:59:48 PM +0000,,,Unknown
POINT (-97.743804735035 30.282555022211),133,32,"506 W Martin Luther King Jr Blvd, Austin, TX 78701",FS0002,FIRE STATION,2,10,AFD BUILT,AFD,,AUSTIN,10076012,3113876,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, BC 1"
POINT (-97.783055399768 30.451531986663),16,97,"9218 Anderson Mill Rd, Austin, TX 78729",FSJV01,FIRE STATION,JV1,0,BUILT,JOLLEYVILLE,,JOLLEYVILLE,10137165,3100119,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,02/05/2019 10:22:35 AM +0000,Unknown
POINT (-97.744422096589 30.099808578567),33,11,"4010 FM1327, Creedmoor, TX 78610",FS1102,FIRE STATION,1102,0,BUILT,ESD 11,,MUSTANG RIDGE,10009562,3115228,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.894575089253 30.250672421467),26,45,"8660 State Hwy 71, Austin, TX 78735",FS0037,FIRE STATION,37,10,AFD BUILT,AFD,,AUSTIN,10063344,3066553,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,06/14/2016 10:52:35 AM +0000,ENG
POINT (-97.801945488422 30.446475462076),161,46,"10111 Anderson Mill Rd, Austin, TX 78750",FS0038,FIRE STATION,38,10,AFD BUILT,AFD,EMS,AUSTIN,10135190,3094173,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.750457422072 30.246539783448),25,69,"1705 S Congress Ave, Austin, TX 78704",FS0006,FIRE STATION,6,10,AFD BUILT,AFD,,AUSTIN,10062868,3112081,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.679834910998 30.507511751595),36,91,"205 W Bagdad Ave, Round Rock, TX 78664",FSRR02,FIRE STATION,RR2,0,BUILT,ROUND ROCK,,ROUND ROCK,10158279,3132098,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,02/05/2019 10:23:06 AM +0000,Unknown
POINT (-97.797353961107 30.292742461926),18,28,"1109 Westlake Dr, West Lake Hills, TX 78746",FS0901,FIRE STATION,901,0,BUILT,ESD 9,,WESTLAKE HILLS,10079327,3096894,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.685246585838 30.558843567828),23,84,"2811 Oakmont Dr, Round Rock, TX 78665",FSRR7,FIRE STATION,RR7,0,BUILT,ROUND ROCK,FIRE STATION,ROUND ROCK,10176901,3129933,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/16/2015 09:48:13 AM +0000,Unknown
POINT (-97.739376979022 30.265810263456),116,66,"401 E 5th St., Austin, TX 78701",FS0001,FIRE STATION,1,10,AFD BUILT,AFD,EMS,AUSTIN,10069956,3115415,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, ENG, LAD"
POINT (-98.075990128928 30.371215778669),37,163,"22404 W SH 71, Spicewood, TX 78669",FS0805,FIRE STATION,805,0,BUILT,ESD 8,,SPICEWOOD,,,FD2910,06/11/2024 06:27:48 PM +0000,,,Unknown
POINT (-97.690177577134 30.317270548346),123,36,"6311 Berkman Dr, Austin, TX 78723",FS0018,FIRE STATION,18,10,AFD BUILT,AFD,,AUSTIN,10089032,3130499,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, LAD"
POINT (-97.742295026798 30.187249448545),14,85,"5811 Nuckols Crossing Rd, Austin, TX 78744",FS0024,FIRE STATION,24,10,AFD BUILT,AFD,,AUSTIN,10041371,3115160,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.792884726411 30.83865223664),97,161,"301 S Patterson Ave, Florence, TX 76527",WC0701,FIRE STATION,WCESD7 1,0,BUILT,WCESD 7,,FLORENCE,,,FD2910,02/26/2024 05:01:45 PM +0000,,,Unknown
POINT (-97.732726913675 30.1508814113),42,168,"8300 Solis Pl, Austin, TX 78747",FS1110,FIRE STATION,1110,0,BUILT,ESD 11,,AUSTIN,,,FD2910,06/11/2024 06:28:28 PM +0000,,,Unknown
POINT (-97.839029763835 30.437610742041),47,122,"9804 N RM 620, Austin, TX 78726",FS0054,FIRE STATION,54,10,BUILT,AFD,EMS,AUSTIN,,,FD2910,11/09/2023 10:47:35 AM +0000,,,ENG
POINT (-98.099903344192 30.442471089051),32,17,"311 Paleface Ranch Rd, Spicewood, TX 78669",FS0803,FIRE STATION,803,0,BUILT,ESD 8,,SPICEWOOD,10131723,3000406,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/09/2015 10:52:45 AM +0000,ENG
POINT (-97.973255640675 30.475668611685),35,37,"7905 Bronco Ln, Lago Vista, TX 78645",FS0101,FIRE STATION,101,0,,ESD 1,,LAGO VISTA,10146196,3038929,FD2396,06/06/2017 04:43:22 PM +0000,FD2396,05/01/2018 11:18:49 AM +0000,Not staffed
POINT (-97.441704539327 30.58638218556),66,130,"701 Carlos G Parker Blvd NW, Taylor, TX 76574",APFDH,AVERY PICKETT FD HALL,APFDH,0,BUILT,AVERY PICKETT,,TAYLOR,,,FD2910,02/26/2024 03:44:35 PM +0000,,,Unknown
POINT (-97.561220725133 30.341809452525),125,80,"405 W Parsons St, Manor, TX 78653",FS1201,FIRE STATION,1201,0,BUILT,ESD 12,EMS,MANOR,10098944,3170954,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,06/08/2017 09:55:07 AM +0000,ENG
POINT (-97.851442962391 30.778374416986),98,129,"14955 Ranch Rd 2338, Georgetown, TX 78633",WC0702,FIRE STATION,WCESD7 2,0,BUILT,WCESD 7,,GEORGETOWN,,,FD2910,02/26/2024 05:01:49 PM +0000,,,Unknown
POINT (-97.724545630873 30.210119531874),140,44,"5500 Burleson Rd, Austin, TX 78744",FS0035,FIRE STATION,35,10,AFD BUILT,AFD,,AUSTIN,10049817,3120571,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.783564371663 29.958246417097),41,167,"15 N Old Spanish Trail, Uhland, TX 78640",FS1109,FIRE STATION,1109,0,BUILT,ESD 11,,UHLAND,,,FD2910,06/11/2024 06:28:22 PM +0000,,,Unknown
POINT (-97.756006028808 30.370644756723),27,54,"4201 Spicewood Springs Rd, Austin, TX 78759",FS0021,FIRE STATION,21,10,AFD BUILT,AFD,,AUSTIN,10107951,3108979,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,08/07/2015 01:22:47 PM +0000,ENG
POINT (-97.820007669267 30.27948015321),117,43,"1295 S Capital of Texas Hwy, Austin, TX 78746",FS0902,FIRE STATION,902,0,BUILT,ESD 9,EMS,AUSTIN,10074342,3089855,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.508858752119 30.293573160343),156,108,"19515 Hogeye Rd, Manor, TX 78653",FS1202,FIRE STATION,1202,0,BUILT,ESD 12,,ELGIN,10081822,3187911,FD2396,02/05/2019 10:21:55 AM +0000,FD2396,02/05/2019 10:29:26 AM +0000,ENG
POINT (-97.897630463341 30.182909512036),105,83,"11401 Escarpment Blvd, Austin, TX 78739",FS0043,FIRE STATION,43,11,AFD BUILT,AFD,EMS,AUSTIN,10038684,3066128,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.974105511786 30.475650361546),51,115,"20624 RM 1431 #5, Lago Vista, TX 78645",FS01HQ,ESD01 HQ & EOC,01HQ,,BUILT,ESD 1,,LAGO VISTA,,,FD2910,10/06/2021 10:23:11 AM +0000,,,Not staffed
POINT (-97.740244506487 30.322333561293),151,8,"2109 Hancock Dr, Austin, TX 78756",FS0012,FIRE STATION,12,10,AFD BUILT,AFD,,AUSTIN,10090501,3114663,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.672093890834 30.266819167719),58,125,"6301 A Harold Ct, Austin, TX 78721",SRVC 1,Fleet Service Center 1,SRVC 1,13,BUILT,AFD,,AUSTIN,,,FD2910,02/26/2024 01:51:37 PM +0000,,,
POINT (-97.620035592063 30.154891325136),39,165,"7300 Kellam Rd, Del Valle, TX 78617",FS1105,FIRE STATION,1105,0,BUILT,ESD 11,,DEL VALLE,,,FD2910,06/11/2024 06:28:04 PM +0000,,,Unknown
POINT (-97.633259485986 30.122041623613),107,65,"9019 Elroy Rd, Del Valle, TX 78617",FS1101,FIRE STATION,1101,0,BUILT,ESD 11,,DEL VALLE,10018481,3150176,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, QNT, RES"
POINT (-97.804971712535 30.567099310029),86,150,"10964 E Crystal Falls Pkwy, Leander, TX 78641",LN004,FIRE STATION,LN 4,0,BUILT,LEANDER,,LEANDER,,,FD2910,02/26/2024 05:00:57 PM +0000,,,Unknown
POINT (-97.69595149394 30.137795662543),48,114,"8203 S Hwy 183, Austin, TX 78747",FS1104,FIRE STATION,1104,0,BUILT,ESD 11,,AUSTIN,,,FD2910,10/06/2021 10:09:47 AM +0000,,,ENG
POINT (-97.903869370915 30.43562912181),135,29,"15406 RM Rd 2769, Volente, TX 78641",FS1401,FIRE STATION,1401,0,BUILT,ESD 14,,VOLENTE,10130530,3062150,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/16/2015 10:29:18 AM +0000,ENG
POINT (-97.626901069143 29.993496825528),158,110,"9835 FM1854, Dale, TX 78616",FS1107,FIRE STATION,1107,0,BUILT TEMP,ESD 11,,DALE,9971793,3153323,FD2396,07/02/2019 01:37:38 PM +0000,FD2396,07/02/2019 01:44:30 PM +0000,ENG
POINT (-97.58517491691 30.46736378609),61,2,"2301 Kelly Ln, Pflugerville, TX 78660",FS0203,FIRE STATION,203,0,BUILT,ESD 2,EMS,PFLUGERVILLE,10144405,3162272,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.611102198374 30.806605854419),82,146,"155 County Rd 313, Jarrell, TX 76537",JR002,FIRE STATION,JR 2,0,BUILT,JARRELL,,JARRELL,,,FD2910,02/26/2024 05:00:34 PM +0000,,,Unknown
POINT (-97.868232819792 30.546707218769),84,148,"1950 Crystal Falls Pkwy, Leander, TX 78641",LN002,FIRE STATION,LN 2,0,BUILT,LEANDER,,LEANDER,,,FD2910,02/26/2024 05:00:48 PM +0000,,,Unknown
POINT (-97.65328729769 30.399445876453),148,82,"12711 Harrisglenn Dr, Austin, TX 78753",FS0040,FIRE STATION,40,11,AFD BUILT,AFD,EMS,AUSTIN,10119188,3141415,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, LAD"
POINT (-97.767184188134 30.399202916022),112,53,"9409 Bluegrass Dr, Austin, TX 78759",FS0033,FIRE STATION,33,10,AFD BUILT,AFD,,AUSTIN,10118253,3105520,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.614039215671 30.503892052348),89,153,"1612 Red Bud Ln, Round Rock, TX 78664",FSRR08,FIRE STATION,RR8,0,BUILT,ROUND ROCK,,ROUND ROCK,,,FD2910,02/26/2024 05:01:12 PM +0000,,,Unknown
POINT (-97.868892410912 30.593732686694),83,147,"660 San Gabriel Pkwy, Leander, TX 78641",LN001,FIRE STATION,LN 1,0,BUILT,LEANDER,,LEANDER,,,FD2910,02/26/2024 05:00:45 PM +0000,,,Unknown
POINT (-97.678565057947 30.352649826268),4,7,"1330 E Rundberg Ln, Austin, TX 78753",FS0023,FIRE STATION,23,10,AFD BUILT,AFD,EMS,AUSTIN,10101983,3133855,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, BC 7"
POINT (-97.713613483573 30.246056265572),141,101,"517 S Pleasant Valley Rd, Austin, TX 78741",AFD WELLNESS,AFD WELLNESS,WELLNESS,13,BUILT,AFD,,AUSTIN,10062965,3123652,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,02/05/2019 10:23:27 AM +0000,Not Applicable
POINT (-97.62939997682 30.497007288762),110,93,"3399 Gattis School Rd, Round Rock, TX 78664",FSRR04,FIRE STATION,RR4,0,BUILT,ROUND ROCK,,ROUND ROCK,10154842,3147993,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,02/05/2019 10:22:43 AM +0000,Unknown
POINT (-97.588246946332 30.681099214011),96,160,"450 FM1105, Georgetown, TX 78626",WVFD01,FIRE STATION,WVFD 1,0,BUILT,WEIR VFD,,GEORGETOWN,,,FD2910,02/26/2024 05:01:42 PM +0000,,,Unknown
POINT (-98.034499639611 30.292052000902),155,107,"17304 Hamilton Pool Rd, Briarcliff, TX 78669",FS0606,FIRE STATION,606,0,BUILT,ESD 6,,BEE CAVE,10081803,3053994,FD2396,01/14/2019 02:25:33 PM +0000,FD2910,09/03/2020 02:29:52 PM +0000,ENG
POINT (-97.681082407385 30.491087710115),120,92,"221 Sundance Pkwy, Round Rock, TX 78681",FSRR03,FIRE STATION,RR3,0,BUILT,ROUND ROCK,,ROUND ROCK,10152298,3131809,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,02/05/2019 10:22:54 AM +0000,Unknown
POINT (-97.839266950496 30.304582239301),38,164,"414 St Stephens School Rd, Austin TX 78746",FS0903,FIRE STATION,903,0,BUILT,ESD 9,,AUSTIN,,,FD2910,06/11/2024 06:27:55 PM +0000,,,Unknown
POINT (-97.7229239841 30.340168703389),119,9,"7000 Reese Ln, Austin, TX 78757",FS0016,FIRE STATION,16,10,AFD BUILT,AFD,,AUSTIN,10097114,3119974,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
