the_geom,OBJECTID,FIRESTATIONS_ID,ADDRESS,NAME,FACILITY,STATION_NUMBER,TYPE,STATUS,DEPARTMENT,SECONDARY_FACILITY,JURISDICTION,Y_COORDINATE,X_COORDINATE,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,RESOURCES
POINT (-98.058331787621 30.406183360047),111,16,"801 Bee Creek Rd, Briarcliff, TX 78669",FS0801,FIRE STATION,801,0,BUILT,ESD 8,,BRIARCLIFF,10118794,3013809,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/09/2015 01:46:18 PM +0000,ENG
POINT (-97.734713823998 30.26812953262),57,126,"701 E 8th St, Austin, TX 78701",SRVC 5,Fleet Service Center 5,SRVC 5,13,BUILT,AFD,,AUSTIN,,,FD2910,02/26/2024 01:49:13 PM +0000,,,
POINT (-97.692361495085 30.384003158193),7,50,"1021 W Braker Ln, Austin, TX 78758",FS0030,FIRE STATION,30,10,AFD BUILT,AFD,EMS,AUSTIN,10113279,3129234,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.934752472353 30.392657926468),28,19,"15516 General Williamson Dr, Austin, TX 78734",FS0601,FIRE STATION,601,0,BUILT,ESD 6,,AUSTIN,10114695,3052727,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/16/2015 09:48:13 AM +0000,ENG
POINT (-97.92195541873 30.492639041741),100,18,"18300 Park Dr, Jonestown, TX 78645",FS0102,FIRE STATION,102,0,,ESD 1,EMS,JONESTOWN,10151135,3056003,FD2396,06/06/2017 04:43:22 PM +0000,FD2396,06/08/2017 09:55:13 AM +0000,"ENG, QNT, RES"
POINT (-97.833625100419 30.478675265928),152,40,"1570 Cypress Creek Road, Cedar Park, TX 78613",FSCP02,FIRE STATION,CP2,0,BUILT,CEDAR PARK,,CEDAR PARK,10146672,3083854,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/16/2015 10:34:25 AM +0000,Unknown
POINT (-97.673797482769 30.687135448266),73,137,"4200 Airport Rd, Georgetown, TX 78628",GT004,FIRE STATION,GT 4,0,BUILT,GEORGETOWN,,GEORGETOWN,,,FD2910,02/26/2024 04:57:56 PM +0000,,,Unknown
POINT (-97.832692998211 30.355705349995),108,62,"4200 City Park Rd, Austin, TX 78730",FS0047,FIRE STATION,47,0,BUILT,AFD,,AUSTIN,10101967,3085237,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,08/15/2017 10:49:26 AM +0000,ENG
POINT (-97.640276309322 30.524086081925),88,152,"2919 Joe Dimaggio Blvd, Round Rock, TX 78665",FSRR06,FIRE STATION,RR 6,0,BUILT,ROUND ROCK,,ROUND ROCK,,,FD2910,02/26/2024 05:01:07 PM +0000,,,Unknown
POINT (-97.705885854231 30.187332528838),5,100,"4800 Shaw Ln, Austin, TX 78744",FS00ES,AFD TRAINING,EDSVR,13,BUILT,AFD,,AUSTIN,10041671,3127174,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/09/2015 11:12:09 AM +0000,Not Applicable
POINT (-97.388972490462 30.460126468467),94,158,"403 FM 1466, Coupland, TX 78615",WC1001,FIRE STATION,WCESD10 1,0,BUILT,WCESD 10,,COUPLAND,,,FD2910,02/26/2024 05:01:35 PM +0000,,,Unknown
POINT (-97.718908803348 30.67961133053),74,138,"3600 D B Wood Rd, Georgetown, TX 78628",GT005,FIRE STATION,GT 5,0,BUILT,GEORGETOWN,,GEORGETOWN,,,FD2910,02/26/2024 04:57:59 PM +0000,,,Unknown
POINT (-97.860210059936 30.156262123657),12,63,"12010 Brodie Ln, Austin, TX 78748",FS0046,FIRE STATION,46,0,BUILT,AFD,,AUSTIN,10029256,3078160,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,06/14/2016 10:49:06 AM +0000,ENG
POINT (-97.714992244514 30.71745590747),72,136,"5 Texas Dr, Georgetown, TX 78633",GT003,FIRE STATION,GT 3,0,BUILT,GEORGETOWN,,GEORGETOWN,,,FD2910,02/26/2024 04:57:54 PM +0000,,,Unknown
POINT (-97.873545290154 30.323982691539),62,15,"353 Commons Ford Rd, Austin, TX 78733",FS1001,FIRE STATION,1001,0,BUILT,ESD 10,,AUSTIN,10090146,3072602,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.742071511302 30.297082392518),128,99,"3002 Guadalupe St, Austin, TX 78705",FSINVT,AFD INVESTIGATIONS,INVST,0,BUILT,AFD,,AUSTIN,10081307,3114345,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/09/2015 11:09:39 AM +0000,Not Applicable
POINT (-97.847729576246 30.569504717624),85,149,"101 East Sonny Drive, Leander, TX 78641",LN003,FIRE STATION,LN 3,0,BUILT,LEANDER,,LEANDER,,,FD2910,02/26/2024 05:00:53 PM +0000,,,Unknown
POINT (-97.430148456762 30.796316416967),68,132,"200 W Clark St, Bartlett, TX 76511",BVFD01,FIRE STATION,BVFD01,0,BUILT,BARTLETT VFD,,BARTLETT,,,FD2910,02/26/2024 04:57:42 PM +0000,,,Unknown
POINT (-97.838649671456 30.237451302775),44,113,"5410 US-290, Austin, TX 78749",FS0051,FIRE STATION,51,11,BUILT,AFD,EMS,AUSTIN,10058928,3084315,FD2396,06/24/2021 12:00:00 AM +0000,,,"QNT, BC 8"
POINT (-97.729481116512 30.306481272691),113,71,"4301 Speedway, Austin, TX 78751",FS0009,FIRE STATION,9,10,AFD BUILT,AFD,,AUSTIN,10084817,3118192,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.6634951764 30.196623901803),118,26,"3300 Emma Browning Ave, Austin, TX 78719",ARFF,FIRE STATION,A,12,AFD BUILT,AFD,,AUSTIN,10045368,3139968,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/29/2015 11:42:53 AM +0000,ENG
POINT (-97.555161297162 30.54630708919),78,142,"501 Exchange Blvd, Hutto, TX 78634",HT001,FIRE STATION,HT 1,0,BUILT,HUTTO,,HUTTO,,,FD2910,02/26/2024 05:00:01 PM +0000,,,Unknown
POINT (-97.69266064228 30.256902865071),29,35,"829 Airport Blvd, Austin, TX 78702",FS0015,FIRE STATION,15,10,AFD BUILT,AFD,,AUSTIN,10067065,3130236,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.738653095203 30.294628866962),146,67,"201 W 30th St, Austin, TX 78705",FS0003,FIRE STATION,3,10,AFD BUILT,AFD,,AUSTIN,10080440,3115399,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, LAD"
POINT (-97.298506282028 30.588670173823),95,159,"204 Main St, Thrall, TX 76578",WC1002,FIRE STATION,WCESD10 2,0,BUILT,WCESD 10,,THRALL,,,FD2910,02/26/2024 05:01:39 PM +0000,,,Unknown
POINT (-97.692841836059 30.300928605412),121,103,"2011 E 51st St, Austin, TX 78723",FSSHOP,AFD AIR/MAINT SHOPS,SHOP,0,BUILT,AFD,,AUSTIN,10083071,3129799,FD2396,06/14/2016 04:29:38 PM +0000,,,Not Applicable
POINT (-97.748782473532 30.144775069013),46,121,"9400 Capitol View Dr, Austin, TX 78747",FS0053,FIRE STATION,53,10,BUILT,AFD,EMS,AUSTIN,,,FD2910,11/09/2023 10:46:05 AM +0000,,,ENG
POINT (-97.763492240301 30.713175137897),75,139,"6700 Ranch Rd 2338, Georgetown, TX 78633",GT006,FIRE STATION,GT 6,0,BUILT,GEORGETOWN,,GEORGETOWN,,,FD2910,02/26/2024 04:58:02 PM +0000,,,Unknown
POINT (-97.733502502585 30.51704628914),145,98,"1001 Great Oaks Dr, Round Rock, TX 78681",FSSB01,FIRE STATION,SB1,0,BUILT,SAM BASS,,SAM BASS,10161346,3115067,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,02/05/2019 10:23:39 AM +0000,Unknown
POINT (-97.713195017863 30.229287019723),60,4,"5309 E Riverside Dr, Austin, TX 78741",FS0022,FIRE STATION,22,10,AFD BUILT,AFD,EMS,AUSTIN,10056871,3123992,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, LAD"
POINT (-97.643784874493 30.169615305997),157,109,5901 S SH 130 NB,FSTOLL,FORMER FIRE STATION,T,11,BUILT TEMP,,TOLL BOOTH,DEL VALLE,10035700,3146442,FD2396,07/02/2019 10:51:36 AM +0000,FD2396,07/02/2019 11:16:57 AM +0000,Not Staffed
POINT (-97.811587353775 30.333245014502),45,120,"4601 Westlake Dr, Austin, TX 78746",FS0052,FIRE STATION,52,0,BUILT,AFD,EMS,AUSTIN,,,FD2910,02/07/2023 02:51:15 PM +0000,,,ENG
